start	end	type
cpd:C01172;2821	cpd:C00668	type4
130589	cpd:C00267;130589	type2
cpd:C00267	cpd:C00267;130589	type3
cpd:C00267;130589	cpd:C00221	type4
130589	cpd:C00221;130589	type2
cpd:C00221	cpd:C00221;130589	type3
cpd:C00221;130589	cpd:C00267	type4
3098	cpd:C00267;3098	type2
cpd:C00267	cpd:C00267;3098	type3
cpd:C00267;3098	cpd:C00668	type4
3099	cpd:C00267;3099	type2
cpd:C00267	cpd:C00267;3099	type3
cpd:C00267;3099	cpd:C00668	type4
3101	cpd:C00267;3101	type2
cpd:C00267	cpd:C00267;3101	type3
cpd:C00267;3101	cpd:C00668	type4
80201	cpd:C00267;80201	type2
cpd:C00267	cpd:C00267;80201	type3
cpd:C00267;80201	cpd:C00668	type4
2645	cpd:C00267;2645	type2
cpd:C00267	cpd:C00267;2645	type3
cpd:C00267;2645	cpd:C00668	type4
3098	cpd:C00668;3098	type2
cpd:C00668	cpd:C00668;3098	type3
cpd:C00668;3098	cpd:C00267	type4
3099	cpd:C00668;3099	type2
cpd:C00668	cpd:C00668;3099	type3
cpd:C00668;3099	cpd:C00267	type4
3101	cpd:C00668;3101	type2
cpd:C00668	cpd:C00668;3101	type3
cpd:C00668;3101	cpd:C00267	type4
80201	cpd:C00668;80201	type2
cpd:C00668	cpd:C00668;80201	type3
cpd:C00668;80201	cpd:C00267	type4
2645	cpd:C00668;2645	type2
cpd:C00668	cpd:C00668;2645	type3
cpd:C00668;2645	cpd:C00267	type4
2538	cpd:C00668;2538	type2
cpd:C00668	cpd:C00668;2538	type3
cpd:C00668;2538	cpd:C00267	type4
57818	cpd:C00668;57818	type2
cpd:C00668	cpd:C00668;57818	type3
cpd:C00668;57818	cpd:C00267	type4
92579	cpd:C00668;92579	type2
cpd:C00668	cpd:C00668;92579	type3
cpd:C00668;92579	cpd:C00267	type4
2538	cpd:C00267;2538	type2
cpd:C00267	cpd:C00267;2538	type3
cpd:C00267;2538	cpd:C00668	type4
57818	cpd:C00267;57818	type2
cpd:C00267	cpd:C00267;57818	type3
cpd:C00267;57818	cpd:C00668	type4
92579	cpd:C00267;92579	type2
cpd:C00267	cpd:C00267;92579	type3
cpd:C00267;92579	cpd:C00668	type4
1738	cpd:C15973;1738	type2
cpd:C15973	cpd:C15973;1738	type3
cpd:C15973;1738	cpd:C15972	type4
1738	cpd:C15972;1738	type2
cpd:C15972	cpd:C15972;1738	type3
cpd:C15972;1738	cpd:C15973	type4
5230	cpd:C00197;5230	type2
cpd:C00197	cpd:C00197;5230	type3
