start	end	type
14433	cpd:C00236;14433	type2
cpd:C00236	cpd:C00236;14433	type3
cpd:C00236;14433	cpd:C00118	type4
14447	cpd:C00236;14447	type2
cpd:C00236	cpd:C00236;14447	type3
cpd:C00236;14447	cpd:C00118	type4
21991	cpd:C00118;21991	type2
cpd:C00118	cpd:C00118;21991	type3
cpd:C00118;21991	cpd:C00111	type4
21991	cpd:C00111;21991	type2
cpd:C00111	cpd:C00111;21991	type3
cpd:C00111;21991	cpd:C00118	type4
11674	cpd:C05378;11674	type2
cpd:C05378	cpd:C05378;11674	type3
cpd:C05378;11674	cpd:C00111	type4
cpd:C05378;11674	cpd:C00118	type4
11676	cpd:C05378;11676	type2
cpd:C05378	cpd:C05378;11676	type3
cpd:C05378;11676	cpd:C00111	type4
cpd:C05378;11676	cpd:C00118	type4
230163	cpd:C05378;230163	type2
cpd:C05378	cpd:C05378;230163	type3
cpd:C05378;230163	cpd:C00111	type4
cpd:C05378;230163	cpd:C00118	type4
353204	cpd:C05378;353204	type2
cpd:C05378	cpd:C05378;353204	type3
cpd:C05378;353204	cpd:C00111	type4
cpd:C05378;353204	cpd:C00118	type4
79459	cpd:C05378;79459	type2
cpd:C05378	cpd:C05378;79459	type3
cpd:C05378;79459	cpd:C00111	type4
cpd:C05378;79459	cpd:C00118	type4
11674	cpd:C05378;11674	type2
cpd:C05378	cpd:C05378;11674	type3
cpd:C05378;11674	cpd:C00118	type4
11676	cpd:C05378;11676	type2
cpd:C05378	cpd:C05378;11676	type3
cpd:C05378;11676	cpd:C00118	type4
230163	cpd:C05378;230163	type2
cpd:C05378	cpd:C05378;230163	type3
cpd:C05378;230163	cpd:C00118	type4
353204	cpd:C05378;353204	type2
cpd:C05378	cpd:C05378;353204	type3
cpd:C05378;353204	cpd:C00118	type4
79459	cpd:C05378;79459	type2
cpd:C05378	cpd:C05378;79459	type3
cpd:C05378;79459	cpd:C00118	type4
11674	cpd:C00111;cpd:C00118;11674	type2
cpd:C00111	cpd:C00111;cpd:C00118;11674	type3
