start	end	type
cpd:C00022	cpd:C00022;4339856	type3
cpd:C00022;4339856	cpd:C00186	type4
4324263	cpd:C00074;4324263	type2
cpd:C00074	cpd:C00074;4324263	type3
cpd:C00074;4324263	cpd:C00022	type4
4327173	cpd:C00074;4327173	type2
cpd:C00074	cpd:C00074;4327173	type3
cpd:C00074;4327173	cpd:C00022	type4
4333694	cpd:C00074;4333694	type2
cpd:C00074	cpd:C00074;4333694	type3
cpd:C00074;4333694	cpd:C00022	type4
4337406	cpd:C00074;4337406	type2
cpd:C00074	cpd:C00074;4337406	type3
cpd:C00074;4337406	cpd:C00022	type4
4342564	cpd:C00074;4342564	type2
cpd:C00074	cpd:C00074;4342564	type3
cpd:C00074;4342564	cpd:C00022	type4
4349454	cpd:C00074;4349454	type2
cpd:C00074	cpd:C00074;4349454	type3
cpd:C00074;4349454	cpd:C00022	type4
4349774	cpd:C00074;4349774	type2
cpd:C00074	cpd:C00074;4349774	type3
cpd:C00074;4349774	cpd:C00022	type4
4350078	cpd:C00074;4350078	type2
cpd:C00074	cpd:C00074;4350078	type3
cpd:C00074;4350078	cpd:C00022	type4
4351493	cpd:C00074;4351493	type2
cpd:C00074	cpd:C00074;4351493	type3
cpd:C00074;4351493	cpd:C00022	type4
4324263	cpd:C00022;4324263	type2
cpd:C00022	cpd:C00022;4324263	type3
cpd:C00022;4324263	cpd:C00074	type4
4327173	cpd:C00022;4327173	type2
cpd:C00022	cpd:C00022;4327173	type3
cpd:C00022;4327173	cpd:C00074	type4
4333694	cpd:C00022;4333694	type2
cpd:C00022	cpd:C00022;4333694	type3
cpd:C00022;4333694	cpd:C00074	type4
4337406	cpd:C00022;4337406	type2
cpd:C00022	cpd:C00022;4337406	type3
cpd:C00022;4337406	cpd:C00074	type4
4342564	cpd:C00022;4342564	type2
cpd:C00022	cpd:C00022;4342564	type3
cpd:C00022;4342564	cpd:C00074	type4
4349454	cpd:C00022;4349454	type2
cpd:C00022	cpd:C00022;4349454	type3
cpd:C00022;4349454	cpd:C00074	type4
4349774	cpd:C00022;4349774	type2
cpd:C00022	cpd:C00022;4349774	type3
cpd:C00022;4349774	cpd:C00074	type4
4350078	cpd:C00022;4350078	type2
cpd:C00022	cpd:C00022;4350078	type3
cpd:C00022;4350078	cpd:C00074	type4
4351493	cpd:C00022;4351493	type2
cpd:C00022	cpd:C00022;4351493	type3
cpd:C00022;4351493	cpd:C00074	type4
4332253	cpd:C00631;4332253	type2
cpd:C00631	cpd:C00631;4332253	type3
cpd:C00631;4332253	cpd:C00074	type4
4332356	cpd:C00631;4332356	type2
cpd:C00631	cpd:C00631;4332356	type3
cpd:C00631;4332356	cpd:C00074	type4
4340042	cpd:C00631;4340042	type2
cpd:C00631	cpd:C00631;4340042	type3
cpd:C00631;4340042	cpd:C00074	type4
4346906	cpd:C00631;4346906	type2
cpd:C00631	cpd:C00631;4346906	type3
cpd:C00631;4346906	cpd:C00074	type4
4348176	cpd:C00631;4348176	type2
cpd:C00631	cpd:C00631;4348176	type3
cpd:C00631;4348176	cpd:C00074	type4
4332253	cpd:C00074;4332253	type2
cpd:C00074	cpd:C00074;4332253	type3
cpd:C00074;4332253	cpd:C00631	type4
4332356	cpd:C00074;4332356	type2
cpd:C00074	cpd:C00074;4332356	type3
cpd:C00074;4332356	cpd:C00631	type4
4340042	cpd:C00074;4340042	type2
cpd:C00074	cpd:C00074;4340042	type3
cpd:C00074;4340042	cpd:C00631	type4
4346906	cpd:C00074;4346906	type2
cpd:C00074	cpd:C00074;4346906	type3
cpd:C00074;4346906	cpd:C00631	type4
4348176	cpd:C00074;4348176	type2
cpd:C00074	cpd:C00074;4348176	type3
cpd:C00074;4348176	cpd:C00631	type4
4330747	cpd:C00631;4330747	type2
cpd:C00631	cpd:C00631;4330747	type3
cpd:C00631;4330747	cpd:C00197	type4
9270925	cpd:C00631;9270925	type2
cpd:C00631	cpd:C00631;9270925	type3
cpd:C00631;9270925	cpd:C00197	type4
4327493	cpd:C00631;4327493	type2
cpd:C00631	cpd:C00631;4327493	type3
cpd:C00631;4327493	cpd:C00197	type4
4332728	cpd:C00631;4332728	type2
cpd:C00631	cpd:C00631;4332728	type3
cpd:C00631;4332728	cpd:C00197	type4
4339133	cpd:C00631;4339133	type2
cpd:C00631	cpd:C00631;4339133	type3
cpd:C00631;4339133	cpd:C00197	type4
4330747	cpd:C00197;4330747	type2
cpd:C00197	cpd:C00197;4330747	type3
cpd:C00197;4330747	cpd:C00631	type4
9270925	cpd:C00197;9270925	type2
