start	end	type
cpd:C00022	cpd:C00022;AT4G26390	type3
cpd:C00022;AT4G26390	cpd:C00074	type4
AT5G08570	cpd:C00022;AT5G08570	type2
cpd:C00022	cpd:C00022;AT5G08570	type3
cpd:C00022;AT5G08570	cpd:C00074	type4
AT5G52920	cpd:C00022;AT5G52920	type2
cpd:C00022	cpd:C00022;AT5G52920	type3
cpd:C00022;AT5G52920	cpd:C00074	type4
AT5G56350	cpd:C00022;AT5G56350	type2
cpd:C00022	cpd:C00022;AT5G56350	type3
cpd:C00022;AT5G56350	cpd:C00074	type4
AT5G63680	cpd:C00022;AT5G63680	type2
cpd:C00022	cpd:C00022;AT5G63680	type3
cpd:C00022;AT5G63680	cpd:C00074	type4
AT1G74030	cpd:C00631;AT1G74030	type2
cpd:C00631	cpd:C00631;AT1G74030	type3
cpd:C00631;AT1G74030	cpd:C00074	type4
AT2G29560	cpd:C00631;AT2G29560	type2
cpd:C00631	cpd:C00631;AT2G29560	type3
cpd:C00631;AT2G29560	cpd:C00074	type4
AT2G36530	cpd:C00631;AT2G36530	type2
cpd:C00631	cpd:C00631;AT2G36530	type3
cpd:C00631;AT2G36530	cpd:C00074	type4
AT1G74030	cpd:C00074;AT1G74030	type2
cpd:C00074	cpd:C00074;AT1G74030	type3
cpd:C00074;AT1G74030	cpd:C00631	type4
AT2G29560	cpd:C00074;AT2G29560	type2
cpd:C00074	cpd:C00074;AT2G29560	type3
cpd:C00074;AT2G29560	cpd:C00631	type4
AT2G36530	cpd:C00074;AT2G36530	type2
cpd:C00074	cpd:C00074;AT2G36530	type3
cpd:C00074;AT2G36530	cpd:C00631	type4
AT1G22170	cpd:C00631;AT1G22170	type2
cpd:C00631	cpd:C00631;AT1G22170	type3
cpd:C00631;AT1G22170	cpd:C00197	type4
AT1G78050	cpd:C00631;AT1G78050	type2
cpd:C00631	cpd:C00631;AT1G78050	type3
cpd:C00631;AT1G78050	cpd:C00197	type4
AT3G50520	cpd:C00631;AT3G50520	type2
cpd:C00631	cpd:C00631;AT3G50520	type3
cpd:C00631;AT3G50520	cpd:C00197	type4
AT1G09780	cpd:C00631;AT1G09780	type2
cpd:C00631	cpd:C00631;AT1G09780	type3
cpd:C00631;AT1G09780	cpd:C00197	type4
AT3G08590	cpd:C00631;AT3G08590	type2
cpd:C00631	cpd:C00631;AT3G08590	type3
cpd:C00631;AT3G08590	cpd:C00197	type4
AT1G22170	cpd:C00197;AT1G22170	type2
cpd:C00197	cpd:C00197;AT1G22170	type3
cpd:C00197;AT1G22170	cpd:C00631	type4
AT1G78050	cpd:C00197;AT1G78050	type2
cpd:C00197	cpd:C00197;AT1G78050	type3
cpd:C00197;AT1G78050	cpd:C00631	type4
AT3G50520	cpd:C00197;AT3G50520	type2
cpd:C00197	cpd:C00197;AT3G50520	type3
cpd:C00197;AT3G50520	cpd:C00631	type4
AT1G09780	cpd:C00197;AT1G09780	type2
cpd:C00197	cpd:C00197;AT1G09780	type3
